2023-12-10 19:11:00,831 INFO ------------------Epoch: 1/15 start------------------
2023-12-10 19:14:20,463 INFO step 61: tp = 9.0, fp = 9.0, tn = 11.0, fn = 3.0, acc = 0.6250, mcc = 0.292770 
2023-12-10 19:14:21,364 INFO step 62: tp = 11.0, fp = 7.0, tn = 6.0, fn = 8.0, acc = 0.5312, mcc = 0.040082 
2023-12-10 19:14:22,211 INFO step 63: tp = 8.0, fp = 7.0, tn = 8.0, fn = 9.0, acc = 0.5000, mcc = 0.003922 
2023-12-10 19:14:23,154 INFO step 64: tp = 5.0, fp = 8.0, tn = 12.0, fn = 7.0, acc = 0.5312, mcc = 0.016429 
2023-12-10 19:14:24,184 INFO step 65: tp = 8.0, fp = 11.0, tn = 10.0, fn = 3.0, acc = 0.5625, mcc = 0.196763 
2023-12-10 19:14:25,022 INFO step 66: tp = 12.0, fp = 4.0, tn = 9.0, fn = 7.0, acc = 0.6562, mcc = 0.318142 
2023-12-10 19:14:25,833 INFO step 67: tp = 9.0, fp = 6.0, tn = 9.0, fn = 8.0, acc = 0.5625, mcc = 0.129412 
2023-12-10 19:14:26,741 INFO step 68: tp = 9.0, fp = 9.0, tn = 8.0, fn = 6.0, acc = 0.5312, mcc = 0.071007 
2023-12-10 19:14:27,619 INFO step 69: tp = 5.0, fp = 10.0, tn = 9.0, fn = 8.0, acc = 0.4375, mcc = -0.139460 
2023-12-10 19:14:28,615 INFO step 70: tp = 7.0, fp = 7.0, tn = 6.0, fn = 12.0, acc = 0.4062, mcc = -0.168345 
2023-12-10 19:14:29,416 INFO step 71: tp = 9.0, fp = 6.0, tn = 4.0, fn = 13.0, acc = 0.4062, mcc = -0.177324 
2023-12-10 19:14:30,183 INFO step 72: tp = 7.0, fp = 7.0, tn = 7.0, fn = 11.0, acc = 0.4375, mcc = -0.111111 
2023-12-10 19:14:30,964 INFO step 73: tp = 6.0, fp = 8.0, tn = 7.0, fn = 11.0, acc = 0.4062, mcc = -0.181463 
2023-12-10 19:14:31,830 INFO step 74: tp = 9.0, fp = 8.0, tn = 9.0, fn = 6.0, acc = 0.5625, mcc = 0.129412 
2023-12-10 19:14:32,752 INFO step 75: tp = 6.0, fp = 11.0, tn = 9.0, fn = 6.0, acc = 0.4688, mcc = -0.048507 
2023-12-10 19:14:33,435 INFO step 76: tp = 12.0, fp = 4.0, tn = 7.0, fn = 9.0, acc = 0.5938, mcc = 0.197386 
2023-12-10 19:14:34,176 INFO step 77: tp = 10.0, fp = 10.0, tn = 5.0, fn = 7.0, acc = 0.4688, mcc = -0.080845 
2023-12-10 19:14:35,754 INFO step 78: tp = 12.0, fp = 6.0, tn = 9.0, fn = 5.0, acc = 0.6562, mcc = 0.307698 
2023-12-10 19:14:36,911 INFO step 79: tp = 10.0, fp = 8.0, tn = 7.0, fn = 7.0, acc = 0.5312, mcc = 0.055228 
2023-12-10 19:14:38,274 INFO step 80: tp = 12.0, fp = 5.0, tn = 11.0, fn = 4.0, acc = 0.7188, mcc = 0.438357 
2023-12-10 19:14:38,415 INFO step/epoch: 80/1, training samples: 2592, train_loss = 11.1527 train_acc = 0.493827
2023-12-10 19:14:39,449 INFO step 81: tp = 8.0, fp = 13.0, tn = 7.0, fn = 4.0, acc = 0.4688, mcc = 0.016988 
2023-12-10 19:14:40,560 INFO step 82: tp = 9.0, fp = 8.0, tn = 8.0, fn = 7.0, acc = 0.5312, mcc = 0.062622 
2023-12-10 19:14:41,555 INFO step 83: tp = 6.0, fp = 9.0, tn = 8.0, fn = 9.0, acc = 0.4375, mcc = -0.129412 
2023-12-10 19:14:42,293 INFO step 84: tp = 9.0, fp = 9.0, tn = 8.0, fn = 6.0, acc = 0.5312, mcc = 0.071007 
2023-12-10 19:14:43,088 INFO step 85: tp = 6.0, fp = 4.0, tn = 13.0, fn = 9.0, acc = 0.5938, mcc = 0.177324 
